log_id,user_id,resource,action,timestamp,ip_address,status_code,response_time_ms
L00001,U048,/dashboard,PUT,2024-08-02 14:21:10,199.242.146.153,200,1859
L00002,U080,/api/users,GET,2024-01-27 04:10:48,70.114.170.109,401,1293
L00003,U097,/api/analytics,GET,2024-08-14 13:17:13,89.111.29.73,404,1439
L00004,U040,/api/users,POST,2024-10-30 15:33:42,102.253.154.15,200,468
L00005,U098,/dashboard,PUT,2024-06-03 06:49:08,84.31.2.128,404,931
L00006,U091,/api/data,PATCH,2024-03-30 04:24:34,144.214.172.207,400,197
L00007,U003,/admin,GET,2024-07-22 23:02:27,221.81.148.110,403,878
L00008,U015,/profile,GET,2024-12-29 20:26:18,248.84.44.206,403,992
L00009,U014,/api/data,DELETE,2024-12-19 11:05:27,151.103.135.21,401,1832
L00010,U043,/api/reports,GET,2024-06-07 23:21:14,131.163.30.136,403,447
L00011,U083,/api/reports,POST,2025-02-01 11:22:46,27.38.66.51,201,1283
L00012,U099,/admin,DELETE,2024-03-19 20:04:11,194.145.195.149,401,1444
L00013,U042,/settings,POST,2024-10-16 20:40:39,113.18.121.114,404,670
L00014,U065,/api/departments,PUT,2024-05-20 18:03:22,119.116.10.15,400,1753
L00015,U012,/api/exports,PATCH,2024-05-26 02:41:55,130.99.119.149,403,1671
L00016,U074,/api/data,PUT,2025-01-13 01:28:58,155.122.129.39,200,972
L00017,U065,/api/reports,GET,2024-02-22 10:45:05,64.182.113.254,401,1123
L00018,U048,/dashboard,DELETE,2024-09-24 19:10:23,105.199.87.174,403,157
L00019,U043,/api/departments,PATCH,2024-11-19 20:21:04,174.99.73.65,404,1794
L00020,U043,/api/departments,PATCH,2024-12-02 19:55:09,170.37.235.90,400,1393
L00021,U077,/api/departments,PUT,2024-12-23 21:25:08,144.97.165.203,400,1715
L00022,U095,/api/analytics,GET,2024-03-06 21:44:53,166.172.109.131,400,87
L00023,U044,/admin,POST,2024-07-04 09:11:13,58.36.40.20,400,1779
L00024,U095,/api/analytics,GET,2024-02-21 16:49:34,170.87.225.197,403,318
L00025,U024,/api/exports,POST,2024-11-01 12:09:10,185.113.12.106,400,1435
L00026,U037,/admin,POST,2025-01-03 07:28:39,137.62.80.248,500,1656
L00027,U074,/admin,DELETE,2024-08-28 06:23:43,197.73.200.98,403,1130
L00028,U078,/api/reports,PUT,2024-08-02 05:52:12,14.165.124.224,400,1185
L00029,U016,/dashboard,GET,2024-02-22 22:54:33,196.42.70.116,403,351
L00030,U058,/settings,GET,2024-08-11 02:58:14,107.14.102.129,400,532
L00031,U004,/settings,GET,2024-07-16 02:23:14,215.183.167.86,500,349
L00032,U061,/api/reports,DELETE,2024-03-11 01:18:58,115.158.2.232,200,88
L00033,U071,/api/exports,PATCH,2024-05-11 06:53:09,109.29.199.74,201,666
L00034,U082,/api/exports,DELETE,2024-03-03 01:15:26,17.29.215.232,401,1272
L00035,U074,/api/data,POST,2024-10-01 00:40:32,75.110.1.158,400,542
L00036,U086,/api/departments,PATCH,2024-10-19 13:11:42,250.93.18.245,403,1164
L00037,U050,/admin,GET,2024-09-16 16:35:01,163.100.252.96,400,1580
L00038,U045,/api/data,GET,2024-01-09 11:50:04,198.149.189.194,400,323
L00039,U083,/api/reports,DELETE,2024-01-23 11:34:21,252.179.123.162,201,1711
L00040,U059,/api/users,PUT,2024-03-10 02:45:49,52.12.203.52,200,696
L00041,U070,/admin,PUT,2024-06-07 16:25:52,10.193.166.49,400,781
L00042,U043,/dashboard,GET,2025-02-03 01:55:41,205.95.112.228,401,1572
L00043,U064,/admin,PUT,2024-08-13 12:21:11,237.205.133.69,500,219
L00044,U078,/api/reports,PATCH,2025-01-07 13:05:27,76.83.27.21,400,1403
L00045,U092,/profile,POST,2024-05-31 09:28:38,177.114.90.115,200,1538
L00046,U082,/api/users,GET,2024-06-29 19:27:17,172.164.104.94,403,1690
L00047,U019,/api/exports,DELETE,2025-01-18 21:10:01,9.33.18.61,500,1371
L00048,U005,/api/exports,POST,2024-07-06 11:24:36,174.116.243.95,400,959
L00049,U068,/settings,DELETE,2025-01-25 02:36:08,81.167.72.64,200,103
L00050,U050,/api/analytics,GET,2025-01-11 05:31:33,68.199.67.181,401,489
L00051,U063,/api/data,GET,2024-11-09 09:44:58,35.219.19.116,201,1890
L00052,U088,/settings,PUT,2024-12-31 14:05:51,182.17.141.139,400,1875
L00053,U090,/api/reports,PUT,2024-06-02 05:45:45,131.58.32.253,201,1672
L00054,U004,/settings,PATCH,2024-03-12 07:50:31,147.95.120.206,403,315
