permission_id,user_id,resource,can_read,can_write,can_delete,can_admin,granted_date,expires_date
P00001,U022,logs,true,true,true,false,2024-07-03,2025-06-03
P00002,U027,api_keys,false,false,false,false,2023-04-30,2026-11-28
P00003,U058,users,false,false,false,false,2023-04-04,2026-06-07
P00004,U054,analytics,false,false,false,false,2023-05-16,2026-06-10
P00005,U093,users,true,false,false,false,2024-11-19,2025-11-12
P00006,U096,data,false,false,false,false,2023-09-18,2025-01-04
P00007,U009,exports,true,true,false,false,2023-12-19,2026-12-19
P00008,U053,reports,true,true,false,false,2023-02-02,2025-10-21
P00009,U058,billing,true,false,false,false,2024-01-19,2026-01-27
P00010,U085,exports,false,false,false,false,2023-03-24,2026-12-01
P00011,U068,reports,true,true,true,false,2024-07-04,2026-02-07
P00012,U093,exports,true,true,true,false,2024-04-19,2026-11-21
P00013,U030,data,false,false,false,false,2024-06-28,2026-01-24
P00014,U036,data,false,false,false,false,2023-12-21,2025-06-08
P00015,U031,data,true,true,false,false,2024-09-21,2025-01-17
P00016,U091,users,true,true,true,false,2024-09-04,2026-11-20
P00017,U070,data,true,true,false,false,2024-03-25,2025-08-28
P00018,U041,api_keys,true,true,false,false,2023-08-28,2026-08-13
P00019,U019,exports,false,false,false,false,2023-08-31,2025-11-06
P00020,U008,exports,true,false,false,false,2023-11-04,2025-10-09
P00021,U007,logs,true,false,false,false,2024-07-23,2026-05-23
P00022,U090,billing,false,false,false,false,2024-06-21,2025-11-23
P00023,U049,reports,false,false,false,false,2023-06-02,2025-11-04
P00024,U039,reports,false,false,false,false,2023-09-04,2025-08-19
P00025,U053,billing,false,false,false,false,2023-03-01,2026-07-30
P00026,U027,logs,true,false,false,false,2023-09-06,2025-09-19
P00027,U069,data,true,false,false,false,2024-01-15,2025-04-05
P00028,U078,users,true,true,false,false,2024-11-20,2026-09-12
P00029,U039,users,true,true,true,false,2023-08-02,2025-12-07
P00030,U078,data,true,true,true,false,2023-09-06,2026-12-14
P00031,U042,settings,false,false,false,false,2023-09-03,2026-07-20
P00032,U084,logs,false,false,false,false,2024-04-22,2026-07-01
P00033,U066,analytics,false,false,false,false,2023-09-25,2026-01-04
P00034,U098,logs,false,false,false,false,2023-04-11,2026-04-26
P00035,U073,data,true,true,false,false,2024-02-28,2025-02-16
P00036,U075,billing,true,true,false,false,2024-07-20,2026-08-22
P00037,U043,data,false,false,false,false,2023-06-06,2025-07-20
P00038,U064,exports,false,false,false,false,2024-08-06,2025-09-09
P00039,U093,analytics,false,false,false,false,2023-09-21,2026-05-16
P00040,U022,reports,false,false,false,false,2023-06-22,2025-12-27
P00041,U083,users,false,false,false,false,2023-07-08,2026-07-10
P00042,U081,data,true,true,true,true,2024-02-27,2025-05-21
P00043,U048,users,true,true,true,false,2024-06-01,2026-04-12
P00044,U003,users,false,false,false,false,2024-11-06,2026-05-15
P00045,U068,settings,false,false,false,false,2023-01-13,2025-01-18
P00046,U090,billing,false,false,false,false,2023-01-18,2026-05-30
P00047,U025,api_keys,true,true,true,false,2023-06-02,2025-09-04
P00048,U051,departments,false,false,false,false,2023-12-29,2025-10-01
P00049,U073,data,false,false,false,false,2024-02-20,2026-04-16
P00050,U049,billing,true,true,true,true,2023-04-06,2026-02-20
P00051,U002,reports,false,false,false,false,2023-02-27,2026-10-15
P00052,U043,api_keys,true,false,false,false,2024-03-20,2026-10-23
P00053,U061,settings,true,true,true,false,2024-12-09,2026-08-04
P00054,U085,users,true,true,false,false,2024-07-10,2026-08-01
P00055,U097,billing,true,true,true,false,2024-08-24,2025-05-28
P00056,U050,exports,true,true,true,false,2023-09-04,2026-08-04
P00057,U089,departments,false,false,false,false,2024-01-29,2025-05-24
P00058,U056,data,false,false,false,false,2023-02-24,2025-04-11
P00059,U082,settings,true,true,false,false,2023-12-01,2025-01-31
